address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"100 BLOCK 5TH AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,5,2,Central Business District,6,1,42003020100,6,2,3-Jan,40.44141413,-80.00287658
"100 BLOCK 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2020,6,3,Central Business District,6,2,42003020100,6,2,3-Jan,40.44414475,-80.0009968
"100 BLOCK 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,1,Central Business District,6,2,42003020100,6,2,3-Jan,40.44414475,-80.0009968
"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,11,6,,,,,,2,,,
"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,2,,,,,,2,,,
"100 BLOCK ADDISON PL PITTSBURGH, PA",2,0,2,0,0,0,2017,6,3,,,,,,2,,,
"<100 BLOCK ALLEGHENY SQE PITTSBURGH, PA 15212",1,1,0,0,0,0,2017,3,3,Allegheny West,1,22,42003562700,1,1,8-Jan,40.44937315,-80.01820652
"100 BLOCK ALLUVIAN ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2019,10,0,,,,,,4,,,
"<100 BLOCK ALMEDA ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,12,4,Hazelwood,5,15,42003562300,3,4,13-Feb,40.40293417,-79.941869
"<100 BLOCK ALMEDA ST PITTSBURGH, PA 15207",1,0,0,1,0,0,2017,11,5,Hazelwood,5,15,42003562300,3,4,13-Feb,40.40293417,-79.941869
"100 BLOCK ALPINE AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,6,1,Central Northside,6,25,42003250300,1,1,21-Jan,40.45870619,-80.00894855
"100 BLOCK AMANDA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2019,4,4,Carrick,4,29,42003290200,3,3,12-Apr,40.40088388,-79.98843661
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2018,4,3,Larimer,9,12,42003120800,2,5,10-Mar,40.46548636,-79.91761583
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",2,0,1,1,0,0,2019,7,0,Larimer,9,12,42003120800,2,5,10-Mar,40.46548636,-79.91761583
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,12,1,Larimer,9,12,42003120800,2,5,10-Mar,40.46548636,-79.91761583
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,3,3,,,,,,5,,,
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,12,6,,,,,,5,,,
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2018,3,3,,,,,,5,,,
"<100 BLOCK AZIMUTH CT PITTSBURGH, PA 15206",2,0,1,1,0,0,2018,3,3,Highland Park,7,11,42003110200,2,5,9-Mar,40.47671523,-79.92113422
"<100 BLOCK BAILEY AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2016,11,3,Mount Washington,3,18,42003180700,5,3,27-Apr,40.42703145,-80.00539394
"<100 BLOCK BASCOM AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2018,5,3,,,,42003429700,,1,,40.49313735,-80.04196493
"100 BLOCK BAUSMAN ST PITTSBURGH, PA 15210",3,1,1,0,1,0,2016,11,4,Knoxville,3,30,42003300100,5,3,7-Apr,40.41443293,-79.98807739
"<100 BLOCK BEDFORD SQ PITTSBURGH, PA 15203",1,0,1,0,0,0,2019,9,3,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42965515,-79.98667607
"<100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,1,Beltzhoover,3,18,42003562400,5,3,21-Apr,40.4199711,-79.99735717
"100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,6,2,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42217413,-79.99767845
"100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,8,4,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42217413,-79.99767845
"100 BLOCK BERRY ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,7,4,,,,,,6,,,
"<100 BLOCK BIGELOW SQ PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,10,5,Central Business District,6,2,42003020100,6,2,4-Feb,40.4408367,-79.99443219
"<100 BLOCK BIGELOW SQ PITTSBURGH, PA 15219",1,0,1,0,0,0,2017,5,5,Central Business District,6,2,42003020100,6,2,4-Feb,40.4408367,-79.99443219
"<100 BLOCK BLANFORD CT PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,5,6,,,,,,5,,,
"<100 BLOCK BLANFORD CT PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,8,3,,,,,,5,,,
"<100 BLOCK BOSTON ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2017,2,1,Marshall-Shadeland,1,27,42003271500,1,1,14-Jan,40.46946906,-80.03574867
"100 BLOCK BOUNDARY ST PITTSBURGH, PA 15213",4,0,0,2,2,0,2017,3,3,Squirrel Hill South,5,14,42003151600,3,4,12-Feb,40.42865119,-79.94914962
"<100 BLOCK BRIGGS ST PITTSBURGH, PA 15234",2,0,2,0,0,0,2020,8,4,,,,,,3,,,
"<100 BLOCK CABLE PL PITTSBURGH, PA 15213",1,0,1,0,0,0,2019,5,5,,,,42003510000,,4,,40.39942431,-79.83565157
"100 BLOCK CAPE MAY AVE PITTSBURGH, PA 15216",1,0,1,0,0,0,2017,9,0,Beechview,4,19,42003191600,5,6,28-Apr,40.40847669,-80.01781012
"<100 BLOCK CEDRICTON ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,6,3,Carrick,4,29,42003290100,3,3,7-Apr,40.40480846,-79.99264463
"100 BLOCK CHARLES ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,9,1,Knoxville,3,30,42003300100,5,3,6-Apr,40.41664751,-79.98818255
"100 BLOCK CHARLES ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,2,2,Knoxville,3,30,42003300100,5,3,6-Apr,40.41664751,-79.98818255
"100 BLOCK CLIMAX ST PITTSBURGH, PA 15210",3,1,1,1,0,0,2015,7,4,,,,,,3,,,
"<100 BLOCK COURTRIGHT ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,9,2,Marshall-Shadeland,1,27,42003271500,1,1,14-Jan,40.47559011,-80.03122177
"100 BLOCK CRESTLINE PL PITTSBURGH, PA 15221",1,0,0,1,0,0,2019,6,4,East Hills,9,13,42003130600,2,5,19-Mar,40.45158853,-79.87618286
"100 BLOCK DEWITT ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,9,0,Mount Washington,2,19,42003191400,5,3,27-Apr,40.42450054,-80.00994131
"100 BLOCK E 8TH AVE HOMESTEAD , PA 15102",11,0,5,3,3,0,2015,9,1,,,,42003483800,,OSC,,40.40593189,-79.91182976
"100 BLOCK E AGNEW AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,8,4,Carrick,4,29,42003290200,3,3,12-Apr,40.39522179,-79.98602074
"100 BLOCK E AMANDA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,5,6,Carrick,4,29,42003290200,3,3,12-Apr,40.40088388,-79.98843661
"100 BLOCK E CARSON ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2020,8,6,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42856848,-79.98764937
